339,427
321,416
305,418
305,416
300,430
270,426
265,408
232,403
223,386
209,399
194,418
174,427
150,409
146,425
132,425
117,423
107,414
112,389
111,373
103,350
113,367
138,360
143,379
364,446
182,357
184,332
195,349
216,342
225,343
228,348
236,371
260,380
287,371
285,373
309,382
323,369
339,352
327,348
327,330
324,305
326,303
315,297
317,285
295,281
280,266
265,289
238,285
236,301
222,313
203,312
168,312
150,322
149,325
129,323
152,315
128,300
129,292
134,264
133,259
145,260
157,268
174,274
181,259
193,268
209,262
229,265
246,261
264,261
277,239
292,247
305,238
304,244
328,251
337,230
306,227
319,225
311,212
296,209
285,218
273,230
250,228
244,231
227,213
218,212
213,218
190,208
190,226
188,233
164,222
175,237
158,248
157,234
157,216
162,210
179,192
170,170
180,164
191,188
209,184
222,171
253,153
267,174
266,183
293,179
294,195
315,171
313,193
324,190
332,184
346,164
330,165
331,138
307,155
311,141
301,145
278,142
282,123
261,137
254,124
228,133
223,132
211,133
194,119
198,104
190,134
178,117
188,121
200,104
209,84
212,105
213,84
237,97
244,91
267,73
281,91
289,94
296,79
284,83
280,63
265,53
250,70
237,57
233,71
226,61
222,58
224,39
231,23
247,43
261,34
277,26
